,iql_2p_1,iql_2p_2,iql_2p_3,iql_2p_4,iql_2p_5,iql_2p_6,iql_2p_7,iql_2p_8,iql_2p_9,iql_2p_10,iql_2p_11,iql_2p_12
iql_2p_1,0.018473342280161432,0.08810035366557845,0.06752015236209113,0.07967440938595026,0.09553998760205068,0.07171477256465365,0.07011354879051551,0.08894013397223999,0.05008960969103273,0.08823239022037202,0.09872864078371585,0.07862591122524432
iql_2p_2,0.08737850215585068,0.019912024482708936,0.08159712338066827,0.07968444409669932,0.09478293939312074,0.08057038838183667,0.08774992963529941,0.06935491935688484,0.08126732750004764,0.06296292826735428,0.09322195358926993,0.06272091832873623
iql_2p_3,0.06818618555103372,0.08113488522207941,0.019603565772583313,0.0686170017124036,0.06439169908458699,0.06281539441092447,0.06449848370310732,0.07393018511406556,0.06693487305582943,0.07648502257958743,0.05544166908562548,0.0712709590155766
iql_2p_4,0.08040002286069328,0.07986733978291753,0.06921784160171422,0.019026878251568225,0.05860356705013783,0.07801008677728798,0.07461809077562895,0.08060629742147941,0.08220335145844118,0.07862005214320326,0.06286736358397733,0.07935759340479019
iql_2p_5,0.09595789557925913,0.09533388969301526,0.06321442802873407,0.05943899217685306,0.017600011107951043,0.08926627322791067,0.09426720701813542,0.0940739530156993,0.093776264155702,0.0963844948318971,0.0856346170891188,0.0963140695796829
iql_2p_6,0.07378465720595305,0.08095156764386964,0.06400725176884256,0.07827514954313407,0.08904411580222468,0.01896697000050351,0.0727738957319175,0.08123761221872539,0.04647546611923326,0.08056142677485299,0.08725578967037087,0.08354206411144029
iql_2p_7,0.06954684913063999,0.08797496732593879,0.06279417169610568,0.07335912616028084,0.09517903319008866,0.07235799179081742,0.016035222449345687,0.058469138517682984,0.09122623065215399,0.07946593080685585,0.09527608631760648,0.10099948435016884
iql_2p_8,0.08949350045673707,0.06973498386749652,0.07451311814036506,0.08076264130772348,0.0936376514816556,0.08077821924256562,0.05816840073441937,0.018766925693890303,0.09333178579133693,0.056642037781139194,0.09238032041511872,0.08512451820127971
iql_2p_9,0.052462516437929284,0.08224522672471637,0.06913592698445577,0.08188045993397937,0.09387952018944283,0.04770239893338699,0.08987688957123514,0.09388927042000059,0.017352490426448878,0.08716041114519824,0.09506758438079721,0.07162056379979147
iql_2p_10,0.08675825880571832,0.06400773102524412,0.07725156562167526,0.07741551720424013,0.09619008730633319,0.07981577225085278,0.07906739907193103,0.061088452059288596,0.08595880394119033,0.017088640642251213,0.09835253090795376,0.06460402386848671
iql_2p_11,0.09881607759367907,0.09153773211086236,0.05545927745652661,0.06177529311140499,0.08811317247721819,0.08828494593643925,0.09548639437637176,0.09211107014903258,0.09555354048908915,0.09834318009399536,0.015732004449528995,0.09453658571685356
iql_2p_12,0.07711198026247285,0.06304184994113038,0.07160074741928328,0.07964900913382414,0.09648793457733458,0.08321102613836702,0.10230883830832994,0.08599811695031467,0.0716321394277736,0.064171750513758,0.09525296778053689,0.01879762407859036
