self-play & cross-play of SAD
--------------------------------------------------------------------------------------------------
name       M0     M1     M2     M3     M4     M5     M6     M7     M8     M9    M10    M11    mean
M4      15.90  15.70  14.00   9.90  23.90  15.90  16.90  20.00   0.70  20.50  17.10  21.30   15.99
M5      19.00  19.00  19.10  19.30  15.20  23.80  19.10   9.00   0.40  12.30  16.70  13.90   15.56
M6      22.10  22.30  21.90  20.20  17.20  18.80  23.90  16.80   1.20  18.20  19.60  20.60   18.56
M7      14.90  14.20  12.90   9.30  20.00   9.70  17.10  23.90   0.50  23.50  16.50  23.50   15.50
M8       0.60   0.60   0.50   0.30   0.40   0.30   1.10   0.40  23.90   0.30   0.60   0.50    2.45
M9      17.40  16.90  16.10  13.30  20.30  13.00  18.40  23.50   0.30  23.90  18.10  23.40   17.05
M10     23.00  22.80  22.60  16.90  17.50  16.50  19.90  16.70   0.70  18.00  23.90  18.30   18.08
M11     18.20  18.20  16.40  12.90  21.30  14.20  20.60  23.50   0.60  23.40  18.10  24.00   17.60


self-play & cross-play of SAD-AUX
--------------------------------------------------------------------------------------------------
name       M0     M1     M2     M3     M4     M5     M6     M7     M8     M9    M10    M11    mean
------  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  ------
M0      24.20  18.50  22.90  21.70  21.70   0.10  21.30  21.70  21.50  21.90  21.40  22.30   19.92
M1      18.90  24.20  18.50  17.50  17.30   2.80  18.10  17.30  16.20  17.60  19.50  18.60   17.21
M2      22.70  18.00  24.20  20.90  22.30   0.10  21.00  21.60  21.00  20.80  22.00  21.20   19.66
M3      22.00  17.30  21.80  24.10  23.30   0.10  21.20  20.80  20.00  22.90  22.90  22.80   19.93
M4      21.80  17.00  22.60  23.00  24.10   0.10  21.60  22.20  21.20  22.90  22.60  22.10   20.11
M5       0.20   2.90   0.20   0.20   0.20  24.00   0.20   0.10   0.10   0.40   0.10   0.20    2.40
M6      21.40  17.70  21.20  21.10  21.80   0.10  24.10  23.30  20.30  22.60  22.00  22.70   19.87
M7      21.60  16.50  21.80  20.00  22.00   0.00  23.10  24.10  21.10  21.70  21.40  21.30   19.55
M8      21.10  15.30  20.90  19.40  20.70   0.10  19.80  21.00  24.20  21.80  19.90  19.70   18.67
M9      22.20  17.60  21.30  23.00  23.00   0.30  22.40  22.10  21.90  24.20  21.90  23.20   20.25
M10     21.80  19.30  22.30  22.90  22.60   0.00  22.20  21.90  20.50  22.00  23.70  22.70   20.17
M11     22.70  18.70  21.70  22.80  22.20   0.20  22.90  21.80  20.60  23.20  22.70  24.10   20.29


self-play & cross-play of SAD-AUX-OP
--------------------------------------------------------------------------------------------------
name       M0     M1     M2     M3     M4     M5     M6     M7     M8     M9    M10    M11    mean
------  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  ------
M0      24.10  23.40  24.00  21.90  22.50  21.80  23.60  21.20  23.40  20.80  21.40  22.30   22.53
M1      23.30  24.20  23.10  23.20  23.20  23.50  23.70  23.30  23.10  21.60  23.40  23.70   23.28
M2      24.10  23.20  24.20  21.70  22.10  21.50  23.50  21.10  23.50  21.00  21.40  21.90   22.41
M3      21.90  23.30  21.60  23.90  23.60  23.30  21.80  22.00  21.00  19.60  23.30  23.80   22.43
M4      22.50  23.20  22.20  23.60  23.90  23.30  21.90  21.80  20.90  19.30  23.40  23.70   22.47
M5      21.60  23.40  21.20  23.40  23.20  24.00  22.20  22.40  21.30  19.70  23.40  23.80   22.47
M6      23.50  23.70  23.60  22.00  21.90  22.30  24.10  22.70  23.80  20.30  21.80  22.40   22.67
M7      21.00  23.10  20.90  22.00  21.40  22.60  22.60  24.10  21.60  18.30  23.00  22.50   21.91
M8      23.10  22.90  23.20  20.80  20.50  20.70  23.60  21.80  24.00  19.60  19.90  21.30   21.78
M9      20.80  21.40  20.90  19.70  19.40  19.80  20.40  18.50  20.00  24.00  19.20  20.30   20.36
M10     21.30  23.30  20.90  23.20  23.30  23.40  21.60  23.00  20.10  18.80  24.10  23.80   22.22
M11     22.10  23.60  21.80  23.70  23.70  23.90  22.30  22.50  21.40  20.20  23.70  24.10   22.74
