self-play & cross-play of SAD
--------------------------------------------------------------------------------------------------
name       M0     M1     M2     M3     M4     M5     M6     M7     M8     M9    M10    M11    mean
------  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  ------
M0      24.00   0.60   1.50  15.80   3.10   0.60   0.00   0.00  14.10   9.60   0.00   9.30    6.54
M1       0.30  24.20   0.50   1.00   0.30   8.30   0.00   1.60   0.30   0.40   0.00   0.60    3.13
M2       1.60   0.40  24.10   2.80   5.80   1.20   0.00   0.00   1.30   1.30   0.10   1.80    3.37
M3      15.80   1.20   3.00  24.00   4.00   1.70   0.00   0.00  11.10  14.10   0.00  10.90    7.14
M4       3.40   0.40   5.60   4.00  24.00   3.70   0.10   0.00   2.20   6.80   0.00   5.10    4.61
M5       0.50   7.30   1.10   1.60   3.50  24.00   0.20   0.20   0.40   2.90   0.00   0.80    3.54
M6       0.00   0.00   0.00   0.00   0.10   0.20  23.90   0.00   0.00   0.00   0.00   0.00    2.01
M7       0.00   1.70   0.00   0.00   0.00   0.20   0.00  24.00   0.00   0.00   0.00   0.00    2.17
M8      13.70   0.40   1.20  10.90   1.80   0.50   0.00   0.00  23.90   5.80   0.00   7.60    5.49
M9       9.40   0.50   1.20  13.70   6.40   3.40   0.00   0.00   5.90  24.00   0.10   7.70    6.03
M10      0.00   0.00   0.10   0.00   0.00   0.10   0.00   0.00   0.00   0.10  23.60   0.00    1.99
M11      9.30   0.70   2.10  11.20   5.40   0.90   0.00   0.00   7.70   7.80   0.00  24.00    5.77


self-play & cross-play of SAD-OP
--------------------------------------------------------------------------------------------------
name       M0     M1     M2     M3     M4     M5     M6     M7     M8     M9    M10    M11    mean
------  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  ------
M0      24.00  23.90  23.90  21.40  16.10  18.90  22.20  14.80   0.70  17.60  23.00  18.20   18.72
M1      23.90  24.00  23.80  21.60  15.90  18.80  22.30  14.00   0.60  16.50  22.70  18.20   18.52
M2      23.80  23.70  24.00  21.80  13.80  18.90  22.00  12.60   0.60  16.00  22.40  16.00   17.98
M3      22.20  22.10  22.60  23.90   9.50  19.30  21.00   8.40   0.30  12.00  17.50  12.50   15.96
